Model,Brand,Category,SubCategory,Active-Inactive,Remark,Update by,Update date
EI35G2(G),Haier,WH,Digital,Active,,admin,1/8/2026
EI35H2(B),Haier,WH,Digital,Active,,admin,1/8/2026
EI45E-F3CS(TH),Haier,WH,Digital,Active,,admin,1/8/2026
EI45E-K5CB(TH),Haier,WH,Digital,Active,,admin,1/8/2026
EI45G2(G),Haier,WH,Digital,Active,,admin,1/8/2026
EI45H2(B),Haier,WH,Digital,Active,,admin,1/8/2026
EI55E-K5CB-RS(TH),Haier,WH,Digital,Active,,admin,1/8/2026
EI60C1(W),Haier,WH,Digital,Active,,admin,1/8/2026
EI60E(DB),Haier,WH,Digital,Active,,admin,1/8/2026
EI60E-PAD5AB(TH),Haier,WH,Digital,Active,,admin,1/8/2026
EI60G2(G),Haier,WH,Digital,Active,,admin,1/8/2026
EI35A1(W),Haier,WH,Manual,Active,,admin,1/8/2026
EI35A2(W),Haier,WH,Manual,Active,,admin,1/8/2026
EI35L1(W),Haier,WH,Manual,Active,,admin,1/8/2026
EI35M(AES),Haier,WH,Manual,Active,,admin,1/8/2026
EI35M-D1W(TH),Haier,WH,Manual,Active,,admin,1/8/2026
EI35M-F1CWB(TH),Haier,WH,Manual,Active,,admin,1/8/2026
EI35M-F1W(TH),Haier,WH,Manual,Active,,admin,1/8/2026
EI35M1(W),Haier,WH,Manual,Active,,admin,1/8/2026
EI45A1(W),Haier,WH,Manual,Active,,admin,1/8/2026
EI45A2(W),Haier,WH,Manual,Active,,admin,1/8/2026
EI45H1(W),Haier,WH,Manual,Active,,admin,1/8/2026
EI45M(AE),Haier,WH,Manual,Active,,admin,1/8/2026
EI45M-B1W(TH),Haier,WH,Manual,Active,,admin,1/8/2026
EI45M-D1W(TH),Haier,WH,Manual,Active,,admin,1/8/2026
EI45M-F1CWB(TH),Haier,WH,Manual,Active,,admin,1/8/2026
EI45M-F1W(TH),Haier,WH,Manual,Active,,admin,1/8/2026
EI45M-J1CW-F(TH),Haier,WH,Manual,Active,,admin,1/8/2026
EI45M1(W),Haier,WH,Manual,Active,,admin,1/8/2026
HDC-BB3A1B-TH,Haier,WH,Water Dispenser,Active,,admin,1/8/2026
HDC-TB3B1W-TH,Haier,WH,Water Dispenser,Active,,admin,1/8/2026
